bbrID,headshot,name
jordami01,1,Michael Jordan
pippesc01,1,Scottie Pippen
kukocto01,1,Toni Kukoč
kerrst01,1,Steve Kerr
harpero01,,Ron Harper
rodmade01,1,Dennis Rodman
brownra02,,Randy Brown
buechju01,,Jud Buechler
longllu01,,Luc Longley
delebi01,1,Bison Dele
caffeja01,,Jason Caffey
parisro01,1,Robert Parish
stricro02,1,Rod Strickland
webbech01,1,Chris Webber
muresgh01,,Gheorghe Mureșan
murratr01,,Tracy Murray
howarju01,,Juwan Howard
legleti01,,Tim Legler
cheanca01,,Calbert Cheaney
whitnch01,,Chris Whitney
grantha01,,Harvey Grant
jacksja01,,Jaren Jackson
willilo01,,Lorenzo Williams
wallabe01,1,Ben Wallace
blaylmo01,1,Mookie Blaylock
mutomdi01,1,Dikembe Mutombo
smithst01,1,Steve Smith
laettch01,,Christian Laettner
corbity01,,Tyrone Corbin
barryjo01,1,Jon Barry
recasel01,1,Eldridge Recasner
hendeal01,,Alan Henderson
jameshe01,,Henry James
hancoda01,,Darrin Hancock
newbiiv01,,Ivano Newbill
laudepr01,,Priest Lauderdale
hardati01,,Tim Hardaway
mournal01,1,Alonzo Mourning
majerda01,1,Dan Majerle
brownpj01,1,P.J. Brown
lenarvo01,1,Voshon Lenard
askinke01,,Keith Askins
mashbja01,,Jamal Mashburn
pincked01,,Ed Pinckney
crottjo01,,John Crotty
austiis01,,Isaac Austin
anderwi01,,Willie Anderson
stricma01,,Mark Strickland
stockjo01,1,John Stockton
malonka01,1,Karl Malone
hornaje01,1,Jeff Hornacek
russebr01,,Bryon Russell
morrich01,,Chris Morris
ostergr01,1,Greg Ostertag
keefead01,,Adam Keefe
howarst01,,Stephen Howard
eisleho01,,Howard Eisley
carran01,,Antoine Carr
andersh01,,Shandon Anderson
fostegr01,,Greg Foster
johnsla02,,Larry Johnson
starkjo01,,John Starks
ewingpa01,1,Patrick Ewing
grantho01,,Horace Grant
houstal01,1,Allan Houston
mcmilna01,,Nate McMillan
boguemu01,,Muggsy Bogues
richapo01,,Pooh Richardson
wardch01,,Charlie Ward
burresc01,,Scott Burrell
wennibi01,,Bill Wennington
simpkdi01,,Dickey Simpkins
kittlke01,1,Kerry Kittles
gillke01,1,Kendall Gill
